danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,Song Title,Artist
0.894,0.511,0.18181818181818182,0.3698991466252909,1,0.421,0.0251,0.0,0.14,0.567,0.5943964557087346,audio_features,5BJMeoCXXgbRAWfp6fTulr,spotify:track:5BJMeoCXXgbRAWfp6fTulr,https://api.spotify.com/v1/tracks/5BJMeoCXXgbRAWfp6fTulr,https://api.spotify.com/v1/audio-analysis/5BJMeoCXXgbRAWfp6fTulr,176632,4,rap,Shotta Flow (feat. Blueface) [Remix],NLE Choppa
0.604,0.441,0.45454545454545453,0.4619660620245758,1,0.0352,0.791,0.0,0.249,0.795,0.628970276841032,audio_features,7w3YZLWL8l11US6FMMLOGq,spotify:track:7w3YZLWL8l11US6FMMLOGq,https://api.spotify.com/v1/tracks/7w3YZLWL8l11US6FMMLOGq,https://api.spotify.com/v1/audio-analysis/7w3YZLWL8l11US6FMMLOGq,155973,4,country,Country Girl,Faron Young
0.515,0.43,0.6363636363636364,0.549988928255093,1,0.0372,0.0097,0.000133,0.129,0.104,0.46903454791512394,audio_features,70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,https://api.spotify.com/v1/audio-analysis/70LcF31zb1H0PyJoS1Sx1r,238640,4,rock,Creep,Radiohead
0.789,0.858,0.09090909090909091,0.4299456943366951,1,0.311,0.127,0.0,0.349,0.775,0.6931267480137614,audio_features,4Li2WHPkuyCdtmokzW2007,spotify:track:4Li2WHPkuyCdtmokzW2007,https://api.spotify.com/v1/tracks/4Li2WHPkuyCdtmokzW2007,https://api.spotify.com/v1/audio-analysis/4Li2WHPkuyCdtmokzW2007,219333,4,rap,Ni**as In Paris,JAY-Z
0.341,0.0142,0.18181818181818182,0.7592582653499356,1,0.0388,0.993,0.921,0.113,0.0384,0.3941950899792019,audio_features,3GecLjGMqzjmgkvy2v41Wf,spotify:track:3GecLjGMqzjmgkvy2v41Wf,https://api.spotify.com/v1/tracks/3GecLjGMqzjmgkvy2v41Wf,https://api.spotify.com/v1/audio-analysis/3GecLjGMqzjmgkvy2v41Wf,357747,1,classical,"Ständchen in D Minor (After Schubert), S. 560",Franz Liszt
0.342,0.013,0.18181818181818182,0.816766852726492,0,0.0347,0.991,0.935,0.144,0.0982,0.39548529935437926,audio_features,7peGuJtU76TKrTYpwmxGBU,spotify:track:7peGuJtU76TKrTYpwmxGBU,https://api.spotify.com/v1/tracks/7peGuJtU76TKrTYpwmxGBU,https://api.spotify.com/v1/audio-analysis/7peGuJtU76TKrTYpwmxGBU,142444,4,classical,Lagoon of Forgotten Dreams (Laguna de los Sueños Olvidados),Julián Fueyo
0.897,0.662,0.09090909090909091,0.5355314197051978,0,0.292,0.0852,0.0,0.534,0.389,0.5569437913026261,audio_features,78QR3Wp35dqAhFEc2qAGjE,spotify:track:78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/tracks/78QR3Wp35dqAhFEc2qAGjE,https://api.spotify.com/v1/audio-analysis/78QR3Wp35dqAhFEc2qAGjE,145543,4,rap,Drip Too Hard (Lil Baby & Gunna),Lil Baby
0.741,0.697,0.0,0.3890611160318866,1,0.0277,0.0664,2.28e-05,0.133,0.774,0.5929525317263744,audio_features,2LawezPeJhN4AWuSB0GtAU,spotify:track:2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/audio-analysis/2LawezPeJhN4AWuSB0GtAU,160133,4,rock,Have You Ever Seen The Rain,Creedence Clearwater Revival
0.446,0.142,0.8181818181818182,0.6581821728106105,1,0.0335,0.96,0.00114,0.101,0.156,0.6652615481138734,audio_features,6nRvgo4ySezQKD1D7NIqAu,spotify:track:6nRvgo4ySezQKD1D7NIqAu,https://api.spotify.com/v1/tracks/6nRvgo4ySezQKD1D7NIqAu,https://api.spotify.com/v1/audio-analysis/6nRvgo4ySezQKD1D7NIqAu,176093,4,country,I Will Always Love You,Dolly Parton
0.441,0.149,0.2727272727272727,0.7571114212108201,1,0.0486,0.99,0.906,0.103,0.252,0.6297408743490893,audio_features,4kU9wsJUbJbccEgMB8NZhG,spotify:track:4kU9wsJUbJbccEgMB8NZhG,https://api.spotify.com/v1/tracks/4kU9wsJUbJbccEgMB8NZhG,https://api.spotify.com/v1/audio-analysis/4kU9wsJUbJbccEgMB8NZhG,352760,3,classical,"Marionnettes, Op. 29",Anatoly Lyadov
